ssn|cc_num|first|last|gender|street|city|state|zip|population|job|acct_num|trans_num|date|time|unix_time|category|amount|is_fraud|merchant|merchant_lat|merchant_lon
765-75-6024|4921057197295190|Barbara|White|F|6983 Wilson St|CityThompson|WA|81923|146697|Driver|553269632664|5c2a485db8a6c489602a3c8fdb508be3|2023-07-09|01:43:03|1688853600|kids_pets|100.57|0|fraud_Kroger|48.668255|-120.331923
260-85-5038|4734621091935160|David|Allen|M|8114 Martin St|CityYoung|IN|17708|434747|Engineer|273737341781|7b28a9229e201c67f94b04b2085f1c6c|2023-10-12|00:27:24|1697061600|grocery_net|46.87|0|fraud_Target|39.629343|-87.622524
611-68-6549|4787432221985953|David|Thomas|M|7586 Jones St|CityJackson|TX|39303|439361|Technician|594229945239|a7303266f1a3169378af6e39ac2784ff|2023-08-13|20:13:21|1691877600|shopping_pos|74.58|0|fraud_HomeDepot|26.69633|-99.134175
711-37-1598|4014682843560070|Jennifer|Anderson|F|8508 Thomas St|CityAllen|CA|62991|85324|Driver|844456082067|2f25f1773e6070bde0a47442a1f0f31b|2023-08-04|09:25:35|1691100000|grocery_net|219.45|0|fraud_DeltaAirlines|41.781182|-118.299336
334-35-2749|4586445173014795|Richard|Young|M|5362 Johnson St|CitySmith|MN|75600|387278|Analyst|543960978265|22f4d87571a5c65f57acb31476cb9af0|2023-09-13|07:14:02|1694556000|personal_care|37.85|0|fraud_DeltaAirlines|47.460678|-96.646215
775-14-1698|4334130040501545|Mary|Thomas|F|3308 Wilson St|CityHarris|NC|61027|126131|Driver|255695000672|21284e9560bc5b43339ab1c768636abe|2023-08-13|15:48:05|1691877600|shopping_net|287.59|0|fraud_Netflix|34.611913|-78.621649
307-46-8560|4588306248409007|Karen|Allen|F|6081 Johnson St|CityJackson|KS|66707|146962|Sales Rep|385336820185|f2ce19f4de623d657e40f56f41e33f3e|2023-10-05|11:45:31|1696456800|grocery_net|190.44|0|fraud_Kroger|40.463562|-94.784598
556-14-1631|4042350551580167|Linda|Jones|F|2648 Thompson St|CityJackson|CO|24376|226611|Teacher|895731140229|cd3b0ad3249c54533ac74869d873516c|2023-08-28|19:27:35|1693173600|kids_pets|82.42|0|fraud_CVS|38.169188|-106.837656
655-22-5525|4392572715841919|Jennifer|Miller|F|6331 Smith St|CityMartin|TX|43144|400779|Sales Rep|172044355281|3b9125930c91e807bf20c5d4d377bbe5|2023-07-27|21:10:40|1690408800|home|248.3|0|fraud_PetSmart|29.09795|-100.044731
655-22-5525|4392572715841919|Jennifer|Miller|F|6331 Smith St|CityMartin|TX|43144|400779|Sales Rep|172044355281|77b2f1d2c418ddef061c7bcfae81e11d|2023-11-01|17:47:05|1698793200|personal_care|36.55|0|fraud_Marriott|33.118591|-101.203305
630-48-8069|4634629117418262|Richard|Jones|M|909 Smith St|CityTaylor|MI|64773|330589|Technician|470629806926|03b08e3bb9cb038f392d78a2bcd432e7|2023-10-16|01:22:38|1697407200|misc_net|234.86|0|fraud_HomeDepot|47.928973|-83.945328
810-60-5018|4946024453558094|Michael|Wilson|M|6485 White St|CityTaylor|NY|68531|348411|Technician|371208369262|e845c252647f8dea0b70a8d4e8bcbdf1|2023-10-21|04:59:58|1697839200|shopping_net|158.06|0|fraud_DeltaAirlines|42.304643|-79.989813
611-68-6549|4787432221985953|David|Thomas|M|7586 Jones St|CityJackson|TX|39303|439361|Technician|594229945239|c62dbfe4fea3a15381549eac2794f733|2023-09-06|01:37:15|1693951200|misc_pos|220.07|0|fraud_Lyft|28.174478|-98.374138
514-78-4819|4687665049166091|Jessica|Garcia|F|2684 Williams St|CityAnderson|PA|27417|248137|Manager|734865728934|1d27525d78808a5985c567a6760ac1e6|2023-07-27|11:11:50|1690408800|grocery_pos|80.72|0|fraud_Marriott|37.742468|-77.81806
514-78-4819|4687665049166091|Jessica|Garcia|F|2684 Williams St|CityAnderson|PA|27417|248137|Manager|734865728934|2c1b6ecad0456aebeb58bd5593e0a739|2023-06-08|17:58:38|1686175200|shopping_net|103.04|0|fraud_Walmart|38.169158|-78.133334
655-22-5525|4392572715841919|Jennifer|Miller|F|6331 Smith St|CityMartin|TX|43144|400779|Sales Rep|172044355281|9de2ddfc63a3c9d54ea686a84fec43bd|2023-09-13|06:49:35|1694556000|shopping_pos|104.67|0|fraud_DeltaAirlines|32.427898|-96.434152
266-60-4157|4702002181110370|Michael|White|M|48 Taylor St|CityAllen|KS|71451|478530|Driver|683153633980|a33d43e1b8f0e6dfd8f45b2e2fca43a9|2023-12-01|05:03:35|1701385200|misc_pos|18.37|0|fraud_Starbucks|37.478543|-97.095164
211-34-1899|4980204784898680|Thomas|Davis|M|5821 Miller St|CityMartin|VA|13545|47970|Clerk|650389245378|1d09706e95d5e61f14c18d95cd9a56ff|2023-08-18|10:26:12|1692309600|home|135.82|0|fraud_Lyft|34.50716|-80.992815
514-78-4819|4687665049166091|Jessica|Garcia|F|2684 Williams St|CityAnderson|PA|27417|248137|Manager|734865728934|9a1581680156ec111bad22b17a2376ae|2023-06-25|20:15:09|1687644000|grocery_pos|126.74|0|fraud_Starbucks|41.069695|-76.762418
514-78-4819|4687665049166091|Jessica|Garcia|F|2684 Williams St|CityAnderson|PA|27417|248137|Manager|734865728934|d512a01cedd8eb8601371f9be3ef42ce|2023-09-16|03:38:35|1694815200|misc_net|172.42|0|fraud_CVS|40.32019|-73.655917
655-22-5525|4392572715841919|Jennifer|Miller|F|6331 Smith St|CityMartin|TX|43144|400779|Sales Rep|172044355281|06d8d217c259e5e71ec5905021da970e|2023-08-13|22:02:03|1691877600|food_dining|114.54|0|fraud_Spotify|33.177187|-97.244938
844-13-3687|4474132675090169|Sarah|Davis|F|7221 Johnson St|CityTaylor|TN|68838|110138|Teacher|303033581383|05d5a1c4b661978141db8533b6fa4bf2|2023-06-26|12:18:04|1687730400|shopping_net|1724.88|1|fraud_Netflix|35.444768|-84.134672
211-34-1899|4980204784898680|Thomas|Davis|M|5821 Miller St|CityMartin|VA|13545|47970|Clerk|650389245378|02f5b9678f8c4b9be1f94713dbd2167b|2023-06-10|23:04:42|1686348000|misc_pos|150.98|0|fraud_PetSmart|37.768049|-81.862148
729-56-5200|4165906867876533|John|Allen|M|5681 Thomas St|CityYoung|FL|96869|374508|Nurse|852673861494|fa42eb066cd60c6d73daa19eeeb5050d|2023-06-29|06:11:28|1687989600|kids_pets|105.17|0|fraud_PetSmart|27.408859|-80.560646
260-85-5038|4734621091935160|David|Allen|M|8114 Martin St|CityYoung|IN|17708|434747|Engineer|273737341781|c3bf04f1d91a0d4ee262c111d35786f5|2023-06-11|07:02:42|1686434400|misc_net|272.99|0|fraud_HomeDepot|37.633048|-83.9034
844-13-3687|4474132675090169|Sarah|Davis|F|7221 Johnson St|CityTaylor|TN|68838|110138|Teacher|303033581383|6dd2f58ee21d51f74741111d35a2fbc8|2023-11-02|02:52:22|1698879600|shopping_pos|79.7|0|fraud_McDonalds|38.890474|-86.616024
844-98-9621|4839069730881712|Jessica|Thomas|F|5449 White St|CityTaylor|GA|94971|353273|Technician|991289497892|3a5e3a2b3445f58599e15bb4e37bbfc7|2023-11-17|20:42:31|1700175600|misc_pos|111.46|0|fraud_Shell|28.682122|-85.130521
844-98-9621|4839069730881712|Jessica|Thomas|F|5449 White St|CityTaylor|GA|94971|353273|Technician|991289497892|a525d4e4e2722858345e16d94f1207d4|2023-06-08|17:06:16|1686175200|gas_transport|180.8|0|fraud_Lyft|32.228227|-80.135086
694-86-4736|4153612899060634|Mary|Young|F|9755 Jones St|CityTaylor|CO|64618|170262|Clerk|640756367149|e16cfb28356f60d84f2d0b2c9106b871|2023-08-23|04:32:42|1692741600|misc_net|120.49|0|fraud_Target|42.608521|-106.657508
290-20-9759|4278075545781257|William|Brown|M|4744 Williams St|CityMartin|SD|12731|127568|Analyst|374234143384|8098d99aacb7a251d4859082f1747845|2023-08-22|07:44:55|1692655200|home|71.24|0|fraud_Walgreens|48.209907|-103.094075
414-26-3196|4044649088974278|Karen|Taylor|F|361 Brown St|CityDavis|OH|54566|484179|Teacher|309567056449|fa2335a076ad6947a08823d534865538|2023-08-25|16:52:20|1692914400|misc_net|151.93|0|fraud_McDonalds|40.595782|-80.591028
337-48-5766|4360657334450254|Karen|Moore|F|6563 Brown St|CityAllen|MN|45453|107078|Clerk|561465320145|5ad6191d229b9337df7ea54ac59ab554|2023-07-20|03:10:53|1689804000|entertainment|45.02|0|fraud_Target|44.935392|-93.084472
765-75-6024|4921057197295190|Barbara|White|F|6983 Wilson St|CityThompson|WA|81923|146697|Driver|553269632664|b65e710a7d85e5b2e00477eb0dd397e9|2023-08-17|14:29:15|1692223200|health_fitness|189.14|0|fraud_Walgreens|46.382954|-118.403889
334-35-2749|4586445173014795|Richard|Young|M|5362 Johnson St|CitySmith|MN|75600|387278|Analyst|543960978265|65ca7ad8c3f1bb7a2de66737e13607df|2023-10-26|04:00:21|1698271200|misc_net|144.69|0|fraud_HomeDepot|43.525797|-98.184334
727-44-9329|4010727644975676|Patricia|Johnson|F|1268 Thompson St|CityMiller|FL|15996|149082|Accountant|288151892741|dbce604049431589f141eaad0e5a6b44|2023-12-23|14:26:53|1703286000|misc_pos|278.7|0|fraud_Amazon|29.375345|-83.424288
711-37-1598|4014682843560070|Jennifer|Anderson|F|8508 Thomas St|CityAllen|CA|62991|85324|Driver|844456082067|725959dac4df801cdb8819f39da53bee|2023-08-05|15:30:31|1691186400|misc_net|2188.8|1|fraud_DeltaAirlines|41.062105|-118.666526
655-22-5525|4392572715841919|Jennifer|Miller|F|6331 Smith St|CityMartin|TX|43144|400779|Sales Rep|172044355281|6c630bc0053b3985d68a62fc879418e1|2023-07-03|23:49:13|1688335200|shopping_net|256.11|0|fraud_Spotify|31.396853|-98.740879
468-53-1374|4072059147072943|Joseph|Thomas|M|1966 Thomas St|CityAllen|TX|81761|90963|Driver|857793889934|749c917c7bf89b7d0e3f5a795453206d|2023-10-16|16:22:38|1697407200|travel|132.32|0|fraud_BestBuy|30.831619|-99.690806
521-73-4703|4091721005824198|William|Smith|M|3912 Wilson St|CityMartin|CA|89903|258853|Sales Rep|265179905992|2b5bdc0bcbdd9d814e57dac78132881a|2023-06-09|02:50:17|1686261600|food_dining|262.84|0|fraud_Nike|37.850174|-122.305221
667-20-5574|4958429180900971|David|Garcia|M|7898 White St|CityBrown|FL|97617|27992|Engineer|995918025324|743afada7bcd5666918f0d31ef27f991|2023-12-05|02:11:07|1701730800|gas_transport|206.28|0|fraud_Netflix|28.951617|-85.779242
463-97-6327|4784080948341407|Karen|Harris|F|1728 Jones St|CityThomas|WA|76404|160674|Engineer|672767507896|f42897e3873776cff35f111f861efbe9|2023-07-12|23:39:03|1689112800|misc_pos|159.66|0|fraud_BP|49.319505|-123.846642
492-61-5837|4649233155245308|Sarah|Young|F|770 White St|CityYoung|IN|97610|22508|Manager|946534968725|4f7ff3bf995d960a0a6c12251f23f1d0|2023-07-30|10:25:24|1690668000|kids_pets|50.37|0|fraud_BP|36.573001|-89.589417
521-73-4703|4091721005824198|William|Smith|M|3912 Wilson St|CityMartin|CA|89903|258853|Sales Rep|265179905992|999bb4ab7e58992a187bdf3e780d3443|2023-11-30|07:25:56|1701298800|grocery_net|218.39|0|fraud_Uber|34.951795|-120.153751
810-60-5018|4946024453558094|Michael|Wilson|M|6485 White St|CityTaylor|NY|68531|348411|Technician|371208369262|bd88e68537a5b2044e7e1f3a5dba4c30|2023-10-18|23:56:51|1697580000|kids_pets|139.28|0|fraud_CVS|44.038671|-75.396209
468-53-1374|4072059147072943|Joseph|Thomas|M|1966 Thomas St|CityAllen|TX|81761|90963|Driver|857793889934|dea52754aa427baaec7ba526bc48197c|2023-08-24|07:35:42|1692828000|shopping_net|48.92|0|fraud_Amazon|31.804475|-100.009453
211-34-1899|4980204784898680|Thomas|Davis|M|5821 Miller St|CityMartin|VA|13545|47970|Clerk|650389245378|f1cf42c4294acf12ddbd40fd94edfbf2|2023-09-10|11:47:25|1694296800|health_fitness|1.45|0|fraud_Amazon|36.802091|-78.837192
611-68-6549|4787432221985953|David|Thomas|M|7586 Jones St|CityJackson|TX|39303|439361|Technician|594229945239|d4383916b42b3e9e8740f31e89eb44aa|2023-09-20|02:04:04|1695160800|shopping_pos|90.6|0|fraud_Netflix|30.410463|-98.783935
266-60-4157|4702002181110370|Michael|White|M|48 Taylor St|CityAllen|KS|71451|478530|Driver|683153633980|768ef5b7bb1a34b3121512ed69393b0d|2023-10-30|00:42:12|1698620400|misc_net|5.19|0|fraud_McDonalds|38.482171|-98.231892
307-46-8560|4588306248409007|Karen|Allen|F|6081 Johnson St|CityJackson|KS|66707|146962|Sales Rep|385336820185|81237c8f4090a304e91f7ce9d3aacba1|2023-08-30|11:17:56|1693346400|shopping_net|23.07|0|fraud_McDonalds|39.168672|-96.432116
463-97-6327|4784080948341407|Karen|Harris|F|1728 Jones St|CityThomas|WA|76404|160674|Engineer|672767507896|2434c55a7ebd667ff971d9627b448701|2023-08-04|07:04:01|1691100000|personal_care|41.55|0|fraud_Amazon|48.565246|-120.35249
337-48-5766|4360657334450254|Karen|Moore|F|6563 Brown St|CityAllen|MN|45453|107078|Clerk|561465320145|6033c3f42078ca80e3329a5409b13cb2|2023-09-11|22:35:07|1694383200|shopping_net|41.81|0|fraud_Nike|48.326953|-95.980139
260-85-5038|4734621091935160|David|Allen|M|8114 Martin St|CityYoung|IN|17708|434747|Engineer|273737341781|b5f7afd2231e87576b6dddb26d593d55|2023-06-22|14:12:54|1687384800|travel|248.76|0|fraud_Uber|37.054482|-81.806408
492-61-5837|4649233155245308|Sarah|Young|F|770 White St|CityYoung|IN|97610|22508|Manager|946534968725|b227a258dd7e448eb461f7158043e57c|2023-09-19|20:09:30|1695074400|food_dining|16.29|0|fraud_Target|37.426692|-88.652445
611-68-6549|4787432221985953|David|Thomas|M|7586 Jones St|CityJackson|TX|39303|439361|Technician|594229945239|e48e8520ec2a3b6b819a004bf7db47d7|2023-07-29|13:07:55|1690581600|entertainment|11.9|0|fraud_PetSmart|29.104864|-96.172917
334-35-2749|4586445173014795|Richard|Young|M|5362 Johnson St|CitySmith|MN|75600|387278|Analyst|543960978265|2789b4771cf865754f53a058d40f068f|2023-09-03|12:15:53|1693692000|personal_care|55.21|0|fraud_Starbucks|46.120369|-96.435442
765-75-6024|4921057197295190|Barbara|White|F|6983 Wilson St|CityThompson|WA|81923|146697|Driver|553269632664|46bd2c9d0a690a74198b2777a381ccbe|2023-08-05|20:42:49|1691186400|kids_pets|151.16|0|fraud_McDonalds|51.185507|-121.91029
211-34-1899|4980204784898680|Thomas|Davis|M|5821 Miller St|CityMartin|VA|13545|47970|Clerk|650389245378|9484500ec390d9b66d511e41926c36ed|2023-08-08|23:06:17|1691445600|misc_net|96.53|0|fraud_Walmart|39.87686|-78.188868
844-98-9621|4839069730881712|Jessica|Thomas|F|5449 White St|CityTaylor|GA|94971|353273|Technician|991289497892|17ac4675818cd50da153d4b558cbf2b1|2023-12-23|16:13:04|1703286000|health_fitness|157.62|0|fraud_Amazon|29.927389|-80.232823
463-97-6327|4784080948341407|Karen|Harris|F|1728 Jones St|CityThomas|WA|76404|160674|Engineer|672767507896|adb20fb4b9a5a665bd414c50d61b8ddd|2023-10-21|02:29:47|1697839200|health_fitness|10.89|0|fraud_BestBuy|49.520117|-119.08921
775-14-1698|4334130040501545|Mary|Thomas|F|3308 Wilson St|CityHarris|NC|61027|126131|Driver|255695000672|5efedd000a4219cd8b97507400462dc4|2023-10-23|23:38:30|1698012000|health_fitness|181.21|0|fraud_Netflix|34.631987|-82.592813
775-14-1698|4334130040501545|Mary|Thomas|F|3308 Wilson St|CityHarris|NC|61027|126131|Driver|255695000672|56b8a599e5c343e147ba16b21d013d56|2023-10-24|15:38:07|1698098400|home|125.2|0|fraud_BP|35.650072|-81.573072
468-53-1374|4072059147072943|Joseph|Thomas|M|1966 Thomas St|CityAllen|TX|81761|90963|Driver|857793889934|036a269150e029395f9527cbb8e68fc7|2023-06-30|17:07:07|1688076000|personal_care|216.17|0|fraud_Kroger|30.611828|-100.098826
775-14-1698|4334130040501545|Mary|Thomas|F|3308 Wilson St|CityHarris|NC|61027|126131|Driver|255695000672|46c55814f3c0485ff42ec800ba754569|2023-11-14|14:15:43|1699916400|food_dining|261.08|0|fraud_Amazon|38.000519|-77.525794
711-37-1598|4014682843560070|Jennifer|Anderson|F|8508 Thomas St|CityAllen|CA|62991|85324|Driver|844456082067|61e6878c837d7c98a3aff6e22ce413de|2023-11-01|03:38:00|1698793200|shopping_net|175.7|0|fraud_HomeDepot|38.315821|-118.062052
514-78-4819|4687665049166091|Jessica|Garcia|F|2684 Williams St|CityAnderson|PA|27417|248137|Manager|734865728934|0651db71b6ea3c95c5209420c4ded3f9|2023-12-08|08:38:48|1701990000|home|36.15|0|fraud_McDonalds|42.532|-78.637405
844-13-3687|4474132675090169|Sarah|Davis|F|7221 Johnson St|CityTaylor|TN|68838|110138|Teacher|303033581383|56d25e0e474583b6a3c3a9b94b390d95|2023-08-16|09:31:27|1692136800|food_dining|118.28|0|fraud_HomeDepot|36.325811|-88.284198
711-37-1598|4014682843560070|Jennifer|Anderson|F|8508 Thomas St|CityAllen|CA|62991|85324|Driver|844456082067|9f575f23c315773542833ee68108f17c|2023-07-03|07:18:10|1688335200|misc_net|230.43|0|fraud_McDonalds|41.121409|-117.723421
694-86-4736|4153612899060634|Mary|Young|F|9755 Jones St|CityTaylor|CO|64618|170262|Clerk|640756367149|c42c655bb338cb6e1bd0251915095a3b|2023-06-12|22:08:16|1686520800|grocery_pos|286.92|0|fraud_PetSmart|42.55357|-103.569714
556-14-1631|4042350551580167|Linda|Jones|F|2648 Thompson St|CityJackson|CO|24376|226611|Teacher|895731140229|7f56ad6753ee62d7b61b1e2503a11008|2023-07-21|20:31:00|1689890400|misc_net|2251.93|1|fraud_PetSmart|42.130481|-107.558099
844-13-3687|4474132675090169|Sarah|Davis|F|7221 Johnson St|CityTaylor|TN|68838|110138|Teacher|303033581383|f0d48c367995f3c9143be9e52b57dadf|2023-12-03|17:52:14|1701558000|misc_net|8.95|0|fraud_DeltaAirlines|35.248896|-86.131281
521-73-4703|4091721005824198|William|Smith|M|3912 Wilson St|CityMartin|CA|89903|258853|Sales Rep|265179905992|1205f2cadc05dad0d6c9580edaab73af|2023-07-24|02:16:37|1690149600|kids_pets|57.98|0|fraud_Shell|38.792294|-116.871038
630-48-8069|4634629117418262|Richard|Jones|M|909 Smith St|CityTaylor|MI|64773|330589|Technician|470629806926|2449e99624feaa30003f931002523a22|2023-08-22|09:39:53|1692655200|health_fitness|173.71|0|fraud_Starbucks|46.240064|-86.040352
784-77-1371|4469326934190400|Mary|Harris|F|6690 Thompson St|CityTaylor|TN|15732|262001|Clerk|235605676431|48bb3250bc2b6ff3024c4fe48897b12c|2023-08-03|08:20:04|1691013600|home|191.64|0|fraud_Walgreens|35.014641|-89.704463
711-37-1598|4014682843560070|Jennifer|Anderson|F|8508 Thomas St|CityAllen|CA|62991|85324|Driver|844456082067|5d96213559f9a0b8c5a8c6dd88b8fe7b|2023-09-30|11:31:29|1696024800|kids_pets|48.49|0|fraud_Starbucks|38.404148|-117.497965
