ssn,cc_num,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,acct_num,profile,trans_num,trans_date,trans_time,unix_time,category,amt,merchant,merch_lat,merch_long
619-40-2018,4901283746501827,Charlotte,Wright,F,900 Elm Street,Salem,OR,97301,44.9429,-123.0351,177723,Designer,1995-08-30,847362910283,young_adults_female_urban.json,tx000011,2025-02-13,23:12:05,1739488325,shopping_net,1488.36,Urban Luxe Store,45.1102,-122.8913
773-13-5542,4073628192038475,Lucas,Scott,M,16 Ridge Road,Knoxville,TN,37902,35.9606,-83.9207,195889,Driver,1980-06-08,918273645019,adults_2550_male_urban.json,tx000012,2025-02-14,08:42:31,1739522551,kids_pets,19.84,Happy Pets Shop,35.9498,-83.9471
102-35-7744,4729183746509182,Amelia,Green,F,231 Cherry Lane,Missoula,MT,59801,46.8721,-113.9940,75935,Scientist,1975-01-05,293847561029,adults_2550_female_urban.json,tx000013,2025-02-15,00:56:44,1739581004,shopping_net,899.09,BigSky Online Outlet,46.6632,-114.2021
941-88-3205,4861029384756102,Henry,Baker,M,68 Hillcrest Drive,Roanoke,VA,24011,37.2709,-79.9414,99716,Manager,1955-04-27,564738201938,adults_50up_male_urban.json,tx000014,2025-02-16,17:28:12,1739726892,health_fitness,62.51,Blue Ridge Fitness,37.2811,-79.9052
584-04-1293,4501928374650192,Evelyn,Adams,F,39 Willow Street,Juneau,AK,99801,58.3019,-134.4197,31974,Librarian,1990-09-22,109283746501,adults_2550_female_rural.json,tx000015,2025-02-17,03:22:38,1739762558,misc_net,1105.64,Northern Gadget Hub,58.6402,-134.1005
226-48-9017,4172839401928374,Daniel,Nelson,M,74 Park Place,Lincoln,NE,68508,40.8136,-96.7026,292657,Technician,1992-11-11,675849302817,young_adults_male_urban.json,tx000016,2025-02-18,12:03:52,1739880232,entertainment,45.36,Capitol Cinema,40.8012,-96.7210
799-15-6231,4637281902837465,Harper,Carter,F,18 Valley Road,Bend,OR,97701,44.0582,-121.3153,102059,Veterinarian,1986-06-16,546372819203,adults_2550_female_urban.json,tx000017,2025-02-19,22:49:59,1740005399,shopping_net,1311.02,Cascade Digital Mall,44.3302,-121.0904
367-20-1948,4091827364501928,Alexander,Mitchell,M,302 Walnut Ave,Mobile,AL,36602,30.6954,-88.0399,187041,Clerk,1969-12-03,334455667788,adults_50up_male_urban.json,tx000018,2025-02-20,10:16:25,1740046585,gas_transport,52.18,Gulf Fuel Center,30.6840,-88.0581
153-67-4830,4782910364501928,Abigail,Perez,F,47 Creek Street,Erie,PA,16501,42.1292,-80.0851,93814,Dentist,1979-03-25,887766554433,adults_2550_female_urban.json,tx000019,2025-02-21,01:03:13,1740099793,shopping_net,764.77,Lakefront Online,42.3052,-79.8814
690-11-2854,4328192038475610,William,Roberts,M,88 Aspen Court,Ogden,UT,84401,41.2230,-111.9738,87321,Planner,1999-10-08,201938475610,young_adults_male_urban.json,tx000020,2025-02-22,15:37:41,1740238661,personal_care,24.95,Wasatch Care,41.2402,-111.9524
408-72-9031,4592018374650918,Emily,Turner,F,11 Harbor Road,Portland,ME,04101,43.6591,-70.2568,68408,Consultant,1984-05-01,728190384756,adults_2550_female_urban.json,tx000021,2025-03-01,23:59:28,1740873568,misc_net,974.18,Atlantic Web Supply,43.8112,-70.0205
721-19-6642,4192837465019283,Michael,Phillips,M,402 Spring Street,Lubbock,TX,79401,33.5779,-101.8552,263930,Welder,1971-08-18,938475610293,adults_2550_male_urban.json,tx000022,2025-03-02,07:22:10,1740900130,grocery_pos,83.14,High Plains Foods,33.5599,-101.8321
290-56-7210,4801928374651029,Elizabeth,Campbell,F,66 Orchard Lane,Spokane,WA,99201,47.6588,-117.4260,229071,Bookkeeper,1964-07-29,192837465102,adults_50up_female_urban.json,tx000023,2025-03-03,02:44:49,1740969889,shopping_net,1582.47,Evergreen Online,47.9210,-117.2042
875-31-0481,4528192038476501,Matthew,Parker,M,123 Adams Street,Columbia,SC,29201,34.0007,-81.0348,137541,Officer,1988-02-12,564738291047,adults_2550_male_urban.json,tx000024,2025-03-04,18:05:23,1741111523,travel,134.66,Palmetto Travel,34.0120,-81.0521
613-89-2204,4938475610293847,Sofia,Collins,F,19 Mill Road,Ithaca,NY,14850,42.4430,-76.5019,32108,Researcher,1996-04-07,473829104756,young_adults_female_urban.json,tx000025,2025-03-05,00:11:07,1741133467,shopping_net,689.55,FingerLakes E-Shop,42.2911,-76.7119
348-05-9176,4310928374650918,Jackson,Edwards,M,7 Magnolia Drive,Biloxi,MS,39530,30.3960,-88.8853,49449,Electrician,1959-09-15,918203746501,adults_50up_male_rural.json,tx000026,2025-03-06,12:48:36,1741265316,home,91.30,Coastal Hardware,30.3810,-88.9023
934-70-1152,4765019283746501,Grace,Stewart,F,55 Highland Ave,Boulder,CO,80302,40.0150,-105.2705,108250,Architect,1981-12-19,302918475610,adults_2550_female_urban.json,tx000027,2025-03-07,22:31:15,1741386675,misc_net,1198.61,Rocky Mountain Digital,40.2201,-105.0118
186-44-3985,4283746501928374,David,Sanchez,M,230 Cedar Street,Topeka,KS,66603,39.0473,-95.6752,126587,Farmer,1976-06-27,746501928374,adults_2550_male_rural.json,tx000028,2025-03-08,09:58:01,1741427881,grocery_pos,57.03,Sunflower Grocery,39.0601,-95.7019
542-93-8014,4910293847561029,Lily,Morris,F,81 North Street,Eugene,OR,97401,44.0521,-123.0868,178150,Editor,1993-01-31,675849201938,young_adults_female_urban.json,tx000029,2025-03-09,01:37:52,1741484272,shopping_net,843.24,Emerald Online Store,44.2903,-122.8705
705-26-4409,4102938475610293,Joseph,Rogers,M,10 Bay Road,Providence,RI,02903,41.8240,-71.4128,190934,Paramedic,1968-11-23,847561029384,adults_50up_male_urban.json,tx000030,2025-03-10,14:20:19,1741616419,food_dining,36.42,Capital Deli,41.8105,-71.4310
396-12-5780,4681029384756102,Victoria,Reed,F,91 Main Street,Charleston,WV,25301,38.3498,-81.6326,46536,Attorney,1985-10-04,918273640192,adults_2550_female_urban.json,tx000031,2025-03-11,23:09:33,1741734573,misc_net,1022.38,Appalachian Marketplace,38.5223,-81.4302
810-37-6901,4537281903847561,Samuel,Cook,M,28 Farm Lane,Dover,DE,19901,39.1582,-75.5244,39403,Operator,1997-05-28,564738192837,young_adults_male_rural.json,tx000032,2025-03-12,06:51:04,1741762264,gas_transport,41.75,First State Fuel,39.1432,-75.5488
247-81-0503,4029183746501928,Chloe,Morgan,F,608 Hill Road,Concord,NH,03301,43.2081,-71.5376,43976,Physician,1974-02-09,736451928374,adults_2550_female_urban.json,tx000033,2025-03-13,02:29:18,1741832958,shopping_net,1375.81,WhiteMountain Online,43.4321,-71.3208
591-64-3278,4837465019283746,Andrew,Bell,M,1308 King Street,Little Rock,AR,72201,34.7465,-92.2896,202591,Surveyor,1962-08-02,201928374650,adults_50up_male_urban.json,tx000034,2025-03-14,19:15:45,1741979745,entertainment,67.20,River City Theater,34.7302,-92.3015
760-09-8841,4201928374651029,Zoey,Murphy,F,42 Prairie Road,Sioux Falls,SD,57104,43.5446,-96.7311,202078,Realtor,1991-06-20,384756102938,adults_2550_female_urban.json,tx000035,2025-03-15,00:46:59,1741999619,shopping_net,918.02,Dakota Digital Deals,43.8210,-96.5024
438-52-6613,4756102938475610,Christopher,Bailey,M,17 Stone Street,Augusta,ME,04330,44.3106,-69.7795,18899,Technician,1982-03-16,918203847561,adults_2550_male_rural.json,tx000036,2025-03-16,11:08:27,1742123307,personal_care,22.61,Pine Tree Pharmacy,44.2910,-69.8018
129-77-4120,4392018374650192,Penelope,Rivera,F,99 West End,Las Cruces,NM,88001,32.3199,-106.7637,113888,Coordinator,1957-01-10,746501928301,adults_50up_female_urban.json,tx000037,2025-03-17,22:04:12,1742249052,misc_net,1520.96,Southwest Online Goods,32.5204,-106.5402
684-24-7559,4983746501928374,Anthony,Cooper,M,25 Market Street,Lexington,KY,40507,38.0406,-84.5037,320154,Salesperson,1994-09-27,102938475601,young_adults_male_urban.json,tx000038,2025-03-18,13:42:06,1742305326,food_dining,31.88,Bluegrass Lunch,38.0304,-84.5213
319-05-2096,4628192038475610,Nora,Richardson,F,711 College Ave,Ames,IA,50010,42.0308,-93.6319,66498,Professor,1977-07-05,293847560192,adults_2550_female_urban.json,tx000039,2025-03-19,01:12:21,1742346741,shopping_net,734.62,Cyclone E-Commerce,42.2412,-93.4022
897-41-5630,4182736450192837,Joshua,Cox,M,49 Railroad Street,Wichita,KS,67202,37.6872,-97.3301,397532,Auditor,1965-05-14,675849302910,adults_50up_male_urban.json,tx000040,2025-03-20,08:35:17,1742459717,grocery_pos,64.79,Central Grocery,37.6702,-97.3494
564-30-1742,4819203847561029,Hazel,Howard,F,6 Mountain Road,Bozeman,MT,59715,45.6770,-111.0429,56901,Biologist,1988-12-01,847362918203,adults_2550_female_rural.json,tx000041,2025-03-21,23:33:48,1742596428,shopping_net,1675.33,Mountain View Online,45.9021,-110.8124
238-96-8205,4074650192837465,Logan,Ward,M,39 Summit Ave,Akron,OH,44308,41.0814,-81.5190,188509,Inspector,1973-04-22,556677889900,adults_2550_male_urban.json,tx000042,2025-03-22,15:03:50,1742655830,home,104.27,Rubber City Hardware,41.0632,-81.5404
953-82-4417,4928374650192837,Avery,Torres,F,133 Pearl Street,Santa Fe,NM,87501,35.6870,-105.9378,87505,Curator,1996-11-26,918273645010,young_adults_female_urban.json,tx000043,2025-03-23,02:16:09,1742696169,misc_net,855.40,Adobe Web Market,35.9021,-105.7102
471-16-7028,4510293847561029,Ryan,Peterson,M,271 Center Street,Green Bay,WI,54301,44.5133,-88.0133,107395,Coach,1981-10-13,120394857610,adults_2550_male_urban.json,tx000044,2025-03-24,10:47:33,1742813253,gas_transport,48.12,North Bay Fuel,44.4904,-88.0315
806-54-9931,4293847561029384,Ella,Gray,F,3 Garden Way,Harrisburg,PA,17101,40.2732,-76.8867,50099,Therapist,1959-06-18,837465019283,adults_50up_female_urban.json,tx000045,2025-03-25,00:05:44,1742861144,shopping_net,1098.27,Susquehanna Online,40.5021,-76.6402
144-38-6109,4650192837465019,Nathan,Ramirez,M,56 Lake Road,Madison,WI,53703,43.0731,-89.4012,269840,Developer,1992-02-03,654738291020,young_adults_male_urban.json,tx000046,2025-03-26,17:26:58,1743010018,entertainment,58.44,Capitol Events,43.0602,-89.4201
682-01-3587,4839201746501928,Scarlett,James,F,83 Ridge Lane,Burlington,NC,27215,36.0957,-79.4378,57765,Planner,1986-08-09,938475102938,adults_2550_female_urban.json,tx000047,2025-03-27,22:42:31,1743115351,misc_net,1264.12,Piedmont Online,36.3021,-79.2002
390-66-2451,4109283746501928,Isaac,Watson,M,10 Elmwood Place,Macon,GA,31201,32.8407,-83.6324,156762,Mechanic,1967-03-30,847561029301,adults_50up_male_urban.json,tx000048,2025-03-28,07:50:13,1743148213,kids_pets,33.19,Peach State Pets,32.8224,-83.6507
755-22-0184,4792018374650192,Aria,Brooks,F,808 Fairview Road,Olympia,WA,98501,47.0379,-122.9007,55669,Scientist,1999-12-16,209384756102,young_adults_female_urban.json,tx000049,2025-03-29,01:48:40,1743212920,shopping_net,946.75,Sound Digital Shop,47.2311,-122.7110
528-87-7732,4364501928374650,Caleb,Kelly,M,72 Maple Hollow,Charlottesville,VA,22902,38.0293,-78.4767,46553,Technician,1978-05-06,102938475612,adults_2550_male_rural.json,tx000050,2025-03-30,12:31:22,1743337882,grocery_pos,76.02,Blue Ridge Grocery,38.0114,-78.5012
