ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
213-77-5434|4432093039775103|Barbara|Smith|F|4312 Garcia St|CityMiller|MO|89507|39.0285|-91.2589|433792|Accountant|1969-05-21|664577956631|adults_50up_female_rural.json|406a064ac011044cadc6c722fd52cf6f|2023-11-28|12:12:25|1701126000|personal_care|162.8|0|fraud_BP|37.69559|-88.7828
283-43-9337|4651931025579973|Richard|Miller|M|9240 Young St|CityJohnson|NY|26811|43.6988|-75.2177|294960|Analyst|2001-07-22|880741568576|young_adults_male_urban.json|b6c7b7fb12f3047f6bd19f885ff186a1|2023-07-07|06:27:29|1688680800|kids_pets|53.14|0|fraud_Spotify|42.956584|-74.479137
502-51-6708|4017836783976987|Linda|Johnson|F|6018 Williams St|CityThompson|TN|32603|37.131|-87.4949|144520|Accountant|2003-09-16|198229597089|young_adults_female_urban.json|2cb03ad17a769729b24be8dacec9d1cb|2023-10-29|11:09:55|1698530400|misc_net|1283.02|1|fraud_Walgreens|38.117406|-89.531158
384-79-3349|4449361502143788|Charles|Harris|M|7441 Garcia St|CityAllen|IN|26071|39.585|-87.9767|317665|Clerk|1993-12-02|345017405660|adults_2550_male_urban.json|0a4e1843246ae0d8f47477932cb97288|2023-12-14|10:22:27|1702508400|kids_pets|190.07|0|fraud_Walgreens|37.808444|-88.856595
778-21-4904|4927562551006506|Elizabeth|Garcia|F|2146 Wilson St|CityMartin|NC|64510|36.7241|-78.4787|213297|Teacher|1957-06-22|457820374442|adults_50up_female_rural.json|57522418b9a339e6004913af5980524c|2023-07-17|22:13:57|1689544800|gas_transport|37.64|0|fraud_Starbucks|37.871872|-76.48049
482-92-7203|4843574951597751|Susan|Thompson|F|3856 Thomas St|CityThompson|IN|22373|38.3274|-87.1342|10897|Accountant|1999-08-06|912387829533|young_adults_female_urban.json|51f43851e5bb150ef1ecb2e419b76e43|2023-01-11|08:58:25|1673391600|misc_pos|243.92|0|fraud_Amazon|38.190417|-87.819106
507-69-6889|4565236106481188|Linda|Garcia|F|1916 Moore St|CityYoung|OR|59974|43.2653|-122.1738|401379|Nurse|1987-10-11|788498971673|adults_2550_female_rural.json|0823684487615a88dba04a2e2e3dd5e2|2023-08-12|07:09:28|1691791200|kids_pets|31.04|0|fraud_Shell|44.102132|-122.869707
401-83-3254|4232640741966433|William|Taylor|M|5386 Taylor St|CityMoore|MN|16768|48.3515|-93.34|269128|Accountant|1995-12-02|577692631538|adults_2550_male_urban.json|d6f24aaf80d2bf106a45671cabcd98c8|2023-02-02|23:48:24|1675292400|food_dining|90.64|0|fraud_Netflix|46.990801|-94.621054
794-49-3560|4826291924194357|John|Johnson|M|3141 Taylor St|CitySmith|OR|74300|44.8068|-118.6132|157210|Sales Rep|1999-02-17|906544694654|young_adults_male_urban.json|eacd3c3852ce5e5afc0664d7ba80ae2a|2023-12-11|00:59:16|1702249200|home|194.22|0|fraud_PetSmart|46.075014|-120.312583
622-30-4043|4366392449826247|Karen|Young|F|4703 Williams St|CityMartin|CO|88698|38.675|-107.1718|446502|Manager|2001-03-16|394746007970|young_adults_female_urban.json|c1973af633f53ab5aae66174206caf76|2023-02-17|07:21:33|1676588400|shopping_pos|120.94|0|fraud_HomeDepot|36.696237|-106.489129
374-33-1550|4477877274023745|David|Thompson|M|3378 Smith St|CityJackson|OR|97983|44.0469|-121.1432|66957|Sales Rep|1979-06-30|475200431734|adults_2550_male_urban.json|e28147cbc3bf83622a1882603308389f|2023-01-15|09:46:59|1673737200|personal_care|63.79|0|fraud_CVS|45.405448|-118.934971
881-36-2189|4662864212763581|Mary|Thomas|F|3627 Young St|CityJones|IN|95467|38.1059|-86.2127|380633|Sales Rep|1988-03-19|960060931341|adults_2550_female_rural.json|c1a68a7f30f4469fb587862663d529dc|2023-06-12|01:24:31|1686520800|gas_transport|132.54|0|fraud_Netflix|36.955814|-86.131893
564-35-9641|4024859491386256|William|Jackson|M|4602 Young St|CityJackson|NY|43466|42.9083|-76.9895|187973|Nurse|2004-07-19|599678238093|young_adults_male_urban.json|5245472243c836d9863a1c0b6a928136|2023-04-05|11:47:09|1680645600|entertainment|160.46|0|fraud_BestBuy|41.565423|-77.467065
559-21-8556|4370798024232580|Michael|Young|M|2570 Brown St|CityAnderson|OR|46827|44.6984|-122.3898|432928|Teacher|2001-09-13|934088489962|young_adults_male_urban.json|5d3b581d374c99c40d5cfa1da3381ebd|2023-01-14|11:33:47|1673650800|misc_net|193.24|0|fraud_Netflix|42.882493|-124.765302
779-38-9858|4875004942234607|Barbara|Jones|F|3602 Moore St|CityMiller|SD|23817|44.8981|-100.9585|47699|Driver|1988-08-11|866018464139|adults_2550_female_urban.json|2b4013c6794aae8dfc641d28703d8ee1|2023-07-16|00:07:14|1689458400|shopping_net|922.78|1|fraud_DeltaAirlines|44.437192|-98.453609
409-48-9723|4891677266254913|Barbara|Miller|F|8032 Davis St|CityThomas|CA|21201|38.4344|-121.2487|461576|Engineer|2000-10-22|773747217510|adults_2550_female_urban.json|dd328d653a9cf5009edf791d91689445|2023-11-08|14:06:54|1699398000|misc_pos|50.81|0|fraud_Amazon|36.377911|-119.705462
705-37-8277|4176772782939231|Richard|Taylor|M|7672 Thompson St|CityMartin|VA|44237|38.4012|-78.3845|80524|Teacher|1990-06-24|870952855682|adults_2550_male_rural.json|8e769529d4dcc6fc9190e558a97ad78c|2023-05-08|07:55:41|1683496800|travel|166.56|0|fraud_Amazon|36.374924|-77.063229
262-78-6890|4858597919911381|William|Brown|M|4731 Martin St|CityHarris|IN|56063|41.8019|-87.4234|411648|Analyst|1986-12-21|727631226152|adults_2550_male_rural.json|e52996d65545bc3cc64c1bef628a31b0|2023-05-24|05:23:15|1684879200|grocery_pos|288.91|0|fraud_BP|43.086902|-84.638046
674-79-7838|4466721003727033|Thomas|Miller|M|621 Taylor St|CityTaylor|PA|35236|40.9408|-75.5771|374802|Sales Rep|1958-11-22|139423389208|adults_50up_male_rural.json|d15ed275b05be09ad6f31291430f5fb3|2023-09-21|18:48:20|1695247200|personal_care|217.24|0|fraud_Starbucks|41.70092|-73.759785
434-12-1955|4722359350596449|James|Davis|M|4227 Smith St|CityJackson|MO|61798|36.598|-91.8062|295161|Nurse|1956-10-19|515689507225|adults_50up_male_rural.json|072e03e82f37385f1939f9957ea99dd9|2023-11-20|16:41:05|1700434800|travel|271.27|0|fraud_Walmart|35.856437|-92.067847
705-37-8277|4176772782939231|Richard|Taylor|M|7672 Thompson St|CityMartin|VA|44237|38.4012|-78.3845|80524|Teacher|1990-06-24|870952855682|adults_2550_male_rural.json|387d9afd9bec924d4c6840cc758375f2|2023-04-04|21:01:34|1680559200|kids_pets|80.21|0|fraud_Spotify|40.085545|-81.263474
546-49-2495|4301512089147876|Susan|Young|F|6603 Anderson St|CityWhite|OH|34128|41.4741|-83.8533|123530|Teacher|1985-07-11|667254333806|adults_2550_female_rural.json|a5c0cb4059cd311fa2bf93fb2c895468|2023-03-02|13:40:21|1677711600|health_fitness|160.07|0|fraud_Amazon|43.769938|-85.608434
487-38-9148|4469555811275807|Sarah|Thomas|F|7258 Williams St|CityHarris|CA|24458|39.3797|-119.9357|147191|Clerk|2001-03-22|270524223175|young_adults_female_urban.json|f63033b69b4b5ba722f65c7f1aca6dca|2023-09-13|13:52:59|1694556000|shopping_pos|278.95|0|fraud_Target|41.1305|-118.883622
858-48-2446|4700265102002248|Jennifer|Garcia|F|7727 Thompson St|CityDavis|MO|92555|36.6584|-92.3856|436175|Teacher|1971-08-26|381129977243|adults_50up_female_rural.json|dbbf4531882ef100bd1085003348433e|2023-06-03|20:17:44|1685743200|gas_transport|51.23|0|fraud_McDonalds|34.162429|-93.5097
367-97-3885|4779477540771328|Joseph|Thomas|M|3828 Taylor St|CityMoore|KS|47318|38.353|-96.9619|70707|Technician|1971-01-14|678234948395|adults_50up_male_rural.json|b051981234c05b173bf0133200b1cbfb|2023-08-22|06:05:21|1692655200|misc_net|108.36|0|fraud_Marriott|37.313979|-95.659772
213-77-5434|4432093039775103|Barbara|Smith|F|4312 Garcia St|CityMiller|MO|89507|39.0285|-91.2589|433792|Accountant|1969-05-21|664577956631|adults_50up_female_rural.json|bbc55ced6a1ed752a3c644f5d655f854|2023-04-27|11:57:53|1682546400|personal_care|162.04|0|fraud_McDonalds|40.428691|-91.811388
588-50-5549|4139796998127657|Susan|Thomas|F|5450 Smith St|CityMoore|VA|83765|38.2331|-77.8516|436799|Clerk|2002-05-31|203077066182|young_adults_female_urban.json|db27a2193a2d468eeda128fb35f8ddca|2023-03-04|11:08:21|1677884400|kids_pets|261.64|0|fraud_Shell|38.442572|-78.234263
892-61-5022|4590915491481416|Elizabeth|Brown|F|1287 Taylor St|CityDavis|MI|21674|43.6837|-83.8401|188743|Sales Rep|2001-01-29|120523483926|young_adults_female_urban.json|a26febc0d493c3493f3842198e9dcd78|2023-08-06|03:51:41|1691272800|misc_pos|124.7|0|fraud_HomeDepot|42.659635|-83.198694
559-21-8556|4370798024232580|Michael|Young|M|2570 Brown St|CityAnderson|OR|46827|44.6984|-122.3898|432928|Teacher|2001-09-13|934088489962|young_adults_male_urban.json|3c432c072c13b37a92bdbe3e8ed7578a|2023-09-04|17:56:19|1693778400|grocery_net|98.61|0|fraud_BestBuy|47.652733|-125.134645
374-33-1550|4477877274023745|David|Thompson|M|3378 Smith St|CityJackson|OR|97983|44.0469|-121.1432|66957|Sales Rep|1979-06-30|475200431734|adults_2550_male_urban.json|9e97611ad0255d447f4a06e35a999a55|2023-10-28|08:00:42|1698444000|travel|270.68|0|fraud_CVS|45.100616|-119.82556
575-13-5437|4236744871104395|Jessica|Garcia|F|6568 Moore St|CityThomas|IN|33790|39.1533|-87.6091|405436|Analyst|2000-02-02|324448818248|young_adults_female_urban.json|bb3f27b0a11877582b66bd795d553a8d|2023-12-21|13:13:41|1703113200|shopping_net|151.08|0|fraud_DeltaAirlines|41.602834|-86.079826
582-23-7689|4744762155907816|Karen|Johnson|F|9615 Martin St|CityDavis|MN|18289|46.6649|-94.3924|362670|Technician|1968-08-28|970758759189|adults_50up_female_rural.json|32e055c979e9723675222cb83b784884|2023-03-06|13:44:38|1678057200|shopping_pos|90.8|0|fraud_BestBuy|45.801817|-96.107421
255-18-5022|4455776289833610|David|Brown|M|2625 Miller St|CityYoung|CO|59893|37.4237|-104.9674|211173|Technician|1998-07-25|282127028315|adults_2550_male_urban.json|420f16ab97d7d0b16727d03f76ec292c|2023-07-27|04:04:00|1690408800|food_dining|23.26|0|fraud_Starbucks|39.427876|-104.86055
582-23-7689|4744762155907816|Karen|Johnson|F|9615 Martin St|CityDavis|MN|18289|46.6649|-94.3924|362670|Technician|1968-08-28|970758759189|adults_50up_female_rural.json|f8755b6b46516de9d85523cfea2b67f8|2023-02-16|08:32:29|1676502000|personal_care|163.25|0|fraud_Target|44.903818|-94.786013
715-76-4419|4936813150533778|Linda|Davis|F|5215 Smith St|CityDavis|KS|58030|38.0822|-96.7363|155175|Technician|1982-07-24|316873517504|adults_2550_female_rural.json|077b495c2777885df8ab59776833393c|2023-05-19|20:55:38|1684447200|travel|151.69|0|fraud_Netflix|39.435246|-96.833252
894-85-1312|4058302741689065|Jennifer|Wilson|F|2534 Thompson St|CityGarcia|IL|74791|41.9423|-89.8725|235546|Driver|1981-11-06|353245502819|adults_2550_female_urban.json|5f559a6cd436ba26ef9cd3196b46c162|2023-10-14|13:33:22|1697234400|health_fitness|163.17|0|fraud_Amazon|44.139195|-87.383593
315-77-7304|4970698024394902|Susan|Moore|F|4031 Brown St|CityGarcia|GA|91347|31.5493|-82.4985|102524|Driver|1984-11-11|903809009189|adults_2550_female_rural.json|c268abff32f2f19225cb5252377e1892|2023-08-14|15:49:12|1691964000|personal_care|219.88|0|fraud_BP|30.180735|-79.578432
649-60-9538|4049254119927593|Karen|Jackson|F|7408 Miller St|CityTaylor|KS|58541|38.926|-100.3638|325685|Engineer|1986-05-28|436252724613|adults_2550_female_urban.json|4bf60733bcb44811cdd57e9b746ae66f|2023-05-23|03:56:49|1684792800|shopping_net|54.92|0|fraud_Shell|37.947386|-99.227733
781-14-4862|4680714526799505|Charles|Smith|M|3813 Smith St|CityAllen|MN|94486|44.5905|-95.0276|323435|Manager|1966-10-27|454267411148|adults_50up_male_rural.json|130a7990dd06c6dbaec907b895d3a620|2023-05-27|05:14:58|1685138400|health_fitness|115.89|0|fraud_Starbucks|46.211753|-92.325472
559-21-8556|4370798024232580|Michael|Young|M|2570 Brown St|CityAnderson|OR|46827|44.6984|-122.3898|432928|Teacher|2001-09-13|934088489962|young_adults_male_urban.json|0a7cf91882db69f3f6d5139b15e3b906|2023-03-24|23:13:04|1679612400|gas_transport|104.93|0|fraud_CVS|45.596797|-123.178485
701-24-9104|4152312102713168|Thomas|White|M|4530 Moore St|CityDavis|CA|92717|38.8073|-118.4579|37568|Clerk|1965-01-07|726688337569|adults_50up_male_rural.json|49986094974f5f7842b7928aca6a97a4|2023-02-01|13:55:24|1675206000|travel|258.61|0|fraud_Target|39.346216|-118.444098
367-97-3885|4779477540771328|Joseph|Thomas|M|3828 Taylor St|CityMoore|KS|47318|38.353|-96.9619|70707|Technician|1971-01-14|678234948395|adults_50up_male_rural.json|7d15d4fe282707955b034cc4ab806159|2023-01-14|05:24:51|1673650800|grocery_pos|157.65|0|fraud_Shell|37.948807|-99.939524
631-79-7650|4536068035947636|Patricia|Jackson|F|3166 Jackson St|CityMiller|IN|69032|41.3049|-87.7526|11710|Clerk|1957-09-09|562800583170|adults_50up_female_rural.json|e7989a301084c22d15b94293d4e09476|2023-07-19|05:11:34|1689717600|misc_pos|48.37|0|fraud_PetSmart|41.9606|-85.734167
701-24-9104|4152312102713168|Thomas|White|M|4530 Moore St|CityDavis|CA|92717|38.8073|-118.4579|37568|Clerk|1965-01-07|726688337569|adults_50up_male_rural.json|3aefcf6f8223c017d32eb67be974c4f3|2023-03-21|00:58:26|1679353200|food_dining|159.45|0|fraud_BP|39.289823|-116.573189
564-35-9641|4024859491386256|William|Jackson|M|4602 Young St|CityJackson|NY|43466|42.9083|-76.9895|187973|Nurse|2004-07-19|599678238093|young_adults_male_urban.json|ac68037149353717bfa96fd06d606619|2023-02-06|05:30:04|1675638000|gas_transport|30.28|0|fraud_Netflix|45.899653|-77.135342
391-50-5778|4236662362997581|Sarah|Garcia|F|1586 Moore St|CityJohnson|MI|11238|42.6174|-84.4588|476062|Clerk|1959-12-16|771412852218|adults_50up_female_rural.json|4d1c2bcfe0aec7c4c6f092cf7d30c61a|2023-04-18|21:49:07|1681768800|shopping_pos|112.15|0|fraud_Spotify|42.764391|-82.663986
518-20-5862|4055395409164260|Barbara|Davis|F|9540 Jackson St|CityMoore|KS|29611|39.1864|-97.1199|398476|Teacher|1999-02-16|257177323842|young_adults_female_urban.json|40c1d951755ce58533c3f48b9a4a3fd1|2023-04-03|21:15:05|1680472800|health_fitness|110.95|0|fraud_Target|38.803792|-95.277737
487-38-9148|4469555811275807|Sarah|Thomas|F|7258 Williams St|CityHarris|CA|24458|39.3797|-119.9357|147191|Clerk|2001-03-22|270524223175|young_adults_female_urban.json|28ed95e303cb43a8c71138b80f783339|2023-03-27|00:31:12|1679868000|shopping_net|213.81|0|fraud_Shell|40.170209|-118.017547
649-60-9538|4049254119927593|Karen|Jackson|F|7408 Miller St|CityTaylor|KS|58541|38.926|-100.3638|325685|Engineer|1986-05-28|436252724613|adults_2550_female_urban.json|e40dad735a1a10a29ef7b8d28e31d598|2023-11-13|22:46:52|1699830000|health_fitness|246.78|0|fraud_Walgreens|37.693488|-97.621296
842-36-4908|4557032152341277|Jessica|Martin|F|2152 Brown St|CitySmith|OR|72328|45.7202|-118.6453|320026|Driver|2002-12-21|805508388194|young_adults_female_urban.json|0448d884276e300536eb9de1b266403b|2023-05-12|13:22:07|1683842400|misc_net|216.28|0|fraud_Netflix|45.619216|-119.496501
283-35-3194|4726994614286881|Jessica|Garcia|F|5969 Davis St|CityGarcia|CA|40733|38.2585|-119.9986|458928|Engineer|1992-06-26|791782742725|adults_2550_female_rural.json|093882170de0cd0972d9cefad15785d9|2023-09-28|13:25:21|1695852000|travel|192.39|0|fraud_DeltaAirlines|40.272557|-117.398453
575-13-5437|4236744871104395|Jessica|Garcia|F|6568 Moore St|CityThomas|IN|33790|39.1533|-87.6091|405436|Analyst|2000-02-02|324448818248|young_adults_female_urban.json|466c3ed2da50e7f71af35150d8959647|2023-06-12|20:23:16|1686520800|food_dining|129.78|0|fraud_Uber|40.064619|-84.933177
674-19-2576|4170592968536886|Thomas|Miller|M|8977 Wilson St|CityAnderson|CA|33202|38.5525|-119.2084|386980|Sales Rep|1990-09-09|932608106538|adults_2550_male_urban.json|081495824176dfdaad171a04427b575d|2023-11-28|19:46:39|1701126000|misc_net|69.2|0|fraud_Netflix|40.73411|-121.33023
564-35-9641|4024859491386256|William|Jackson|M|4602 Young St|CityJackson|NY|43466|42.9083|-76.9895|187973|Nurse|2004-07-19|599678238093|young_adults_male_urban.json|086f3620892d3eaf7d9b6845e1db26d8|2023-11-10|22:55:20|1699570800|misc_net|82.73|0|fraud_Amazon|45.869323|-74.253307
409-48-9723|4891677266254913|Barbara|Miller|F|8032 Davis St|CityThomas|CA|21201|38.4344|-121.2487|461576|Engineer|2000-10-22|773747217510|adults_2550_female_urban.json|9467fe76638cb84d1b64c972731017b7|2023-12-25|02:02:57|1703458800|personal_care|216.15|0|fraud_DeltaAirlines|35.703742|-119.038031
559-21-8556|4370798024232580|Michael|Young|M|2570 Brown St|CityAnderson|OR|46827|44.6984|-122.3898|432928|Teacher|2001-09-13|934088489962|young_adults_male_urban.json|07b391ede61d756bb6420ff19f9f2bd1|2023-05-02|22:30:19|1682978400|grocery_pos|238.21|0|fraud_Walgreens|46.128985|-123.173756
649-60-9538|4049254119927593|Karen|Jackson|F|7408 Miller St|CityTaylor|KS|58541|38.926|-100.3638|325685|Engineer|1986-05-28|436252724613|adults_2550_female_urban.json|58a232ba65c80336849575902dbf1123|2023-03-24|07:04:57|1679612400|grocery_net|51.24|0|fraud_McDonalds|41.136299|-100.598872
779-38-9858|4875004942234607|Barbara|Jones|F|3602 Moore St|CityMiller|SD|23817|44.8981|-100.9585|47699|Driver|1988-08-11|866018464139|adults_2550_female_urban.json|8bda8db71b29a605ae09508eb6fb9adb|2023-09-08|19:32:42|1694124000|shopping_pos|117.83|0|fraud_Marriott|46.426849|-103.490052
255-18-5022|4455776289833610|David|Brown|M|2625 Miller St|CityYoung|CO|59893|37.4237|-104.9674|211173|Technician|1998-07-25|282127028315|adults_2550_male_urban.json|bdf0ec9c560ec89d29b9f4ac6f6226fe|2023-02-12|03:11:39|1676156400|gas_transport|211.99|0|fraud_Netflix|39.229107|-105.970939
840-91-6386|4284720082337935|Michael|Brown|M|6259 White St|CityAllen|MO|58326|38.3042|-90.6708|139177|Clerk|1958-04-24|238252055672|adults_50up_male_rural.json|8a9f66bcb2a44401ac1f7c01d10a06d1|2023-05-04|12:24:06|1683151200|health_fitness|134.2|0|fraud_Shell|38.564643|-89.9233
858-48-2446|4700265102002248|Jennifer|Garcia|F|7727 Thompson St|CityDavis|MO|92555|36.6584|-92.3856|436175|Teacher|1971-08-26|381129977243|adults_50up_female_rural.json|f9d29ed2d68ca5dec00911d044efc71f|2023-11-15|13:45:20|1700002800|food_dining|186.88|0|fraud_Netflix|37.228861|-90.471267
737-84-4916|4387478379030174|Richard|Thompson|M|4593 Thomas St|CityYoung|TN|43126|36.5653|-85.0895|32112|Accountant|1996-02-13|359495293536|adults_2550_male_urban.json|8ef5b16a45c3e2393d52a69104833d35|2023-03-12|14:08:42|1678575600|misc_net|291.6|0|fraud_Shell|38.797515|-86.458804
507-69-6889|4565236106481188|Linda|Garcia|F|1916 Moore St|CityYoung|OR|59974|43.2653|-122.1738|401379|Nurse|1987-10-11|788498971673|adults_2550_female_rural.json|c2c1c4362adac24d5b923ee900fcb4e1|2023-04-05|15:49:10|1680645600|health_fitness|14.37|0|fraud_Lyft|45.071979|-121.319283
894-85-1312|4058302741689065|Jennifer|Wilson|F|2534 Thompson St|CityGarcia|IL|74791|41.9423|-89.8725|235546|Driver|1981-11-06|353245502819|adults_2550_female_urban.json|cc1069a6fc469c9ee69ecb18093e7460|2023-10-19|08:23:55|1697666400|misc_pos|135.61|0|fraud_BestBuy|39.369702|-91.935296
898-79-3883|4500741186202341|Robert|Anderson|M|7137 Taylor St|CityBrown|CA|55341|35.5669|-120.0257|300335|Clerk|2000-04-17|229507752295|adults_2550_male_urban.json|3ea61ea2b7afcd42d8768308d4424ef4|2023-01-21|23:58:55|1674255600|shopping_net|44.91|0|fraud_PetSmart|37.919541|-117.597049
434-12-1955|4722359350596449|James|Davis|M|4227 Smith St|CityJackson|MO|61798|36.598|-91.8062|295161|Nurse|1956-10-19|515689507225|adults_50up_male_rural.json|fd72e09f584619b20356b80072cbc93c|2023-05-11|02:58:51|1683756000|health_fitness|625.09|1|fraud_Uber|35.443371|-92.721696
649-60-9538|4049254119927593|Karen|Jackson|F|7408 Miller St|CityTaylor|KS|58541|38.926|-100.3638|325685|Engineer|1986-05-28|436252724613|adults_2550_female_urban.json|07d8e14f036999a5ad2f8dfdc66400c2|2023-02-05|04:27:46|1675551600|kids_pets|241.29|0|fraud_BP|41.721878|-100.98288
434-12-1955|4722359350596449|James|Davis|M|4227 Smith St|CityJackson|MO|61798|36.598|-91.8062|295161|Nurse|1956-10-19|515689507225|adults_50up_male_rural.json|b44024306080612b1caa8b360069fd0e|2023-03-18|11:09:46|1679094000|misc_net|216.02|0|fraud_Uber|34.251913|-89.130615
384-79-3349|4449361502143788|Charles|Harris|M|7441 Garcia St|CityAllen|IN|26071|39.585|-87.9767|317665|Clerk|1993-12-02|345017405660|adults_2550_male_urban.json|33985a4846a9ebb494ac3a14b3a03434|2023-11-01|02:28:48|1698793200|shopping_net|2443.81|1|fraud_Spotify|41.912992|-87.960137
715-76-4419|4936813150533778|Linda|Davis|F|5215 Smith St|CityDavis|KS|58030|38.0822|-96.7363|155175|Technician|1982-07-24|316873517504|adults_2550_female_rural.json|dbf4d6d944d729204c3d050b9cde6597|2023-01-29|06:02:29|1674946800|grocery_pos|285.57|0|fraud_Amazon|35.402856|-94.702956
878-20-3668|4694262435642885|Richard|Moore|M|7161 Garcia St|CityJohnson|CA|28835|39.12|-121.9327|394692|Manager|2002-01-14|623004948298|young_adults_male_urban.json|d41f25566d663fd7229b57c2a7f03324|2023-04-12|17:26:39|1681250400|grocery_net|3.19|0|fraud_Spotify|36.766231|-120.521892
701-24-9104|4152312102713168|Thomas|White|M|4530 Moore St|CityDavis|CA|92717|38.8073|-118.4579|37568|Clerk|1965-01-07|726688337569|adults_50up_male_rural.json|04d04a2b94c13c936d2173a339f8ffc9|2023-05-05|17:09:48|1683237600|travel|40.95|0|fraud_Walmart|39.442526|-120.167596
848-56-9041|4833458553788558|Thomas|Taylor|M|286 Jones St|CityWilliams|KS|48651|39.2408|-99.8746|125764|Clerk|1978-07-17|146765679818|adults_2550_male_rural.json|54a7ceb329c663af592c0592b9578892|2023-08-08|16:39:13|1691445600|shopping_net|202.28|0|fraud_Target|39.309893|-98.516707
262-78-6890|4858597919911381|William|Brown|M|4731 Martin St|CityHarris|IN|56063|41.8019|-87.4234|411648|Analyst|1986-12-21|727631226152|adults_2550_male_rural.json|d1363d703b4430c5318bfe07786e96f8|2023-10-04|14:48:45|1696370400|misc_net|265.63|0|fraud_Kroger|44.333839|-87.934558
874-38-2824|4290917838140118|Susan|Williams|F|8981 Williams St|CityAnderson|CO|79188|39.1025|-106.9038|44845|Sales Rep|2004-09-18|563551416308|young_adults_female_urban.json|fa3d0d2d2248b81fd506ff23f5bedc9c|2023-07-13|00:02:01|1689199200|grocery_pos|87.05|0|fraud_Amazon|39.215175|-108.388864
487-38-9148|4469555811275807|Sarah|Thomas|F|7258 Williams St|CityHarris|CA|24458|39.3797|-119.9357|147191|Clerk|2001-03-22|270524223175|young_adults_female_urban.json|4f9005ca71bd0fe5ab7be7cd5495f07d|2023-04-14|05:12:51|1681423200|misc_net|256.55|0|fraud_Starbucks|38.60343|-118.67792
